year,team,wins,losses,win_loss_perc,points_diff,total_yards,plays_offense,yds_per_play_offense,turnovers,fumbles_lost,first_down,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_net_yds_per_att,pass_fd,rush_att,rush_yds,rush_td,rush_yds_per_att,rush_fd,penalties,penalties_yds,pen_fd,score_pct,turnover_pct,exp_pts_tot
bin_0,Tampa Bay Buccaneers,11,bin_1,bin_2,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_0,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_0,bin_2,bin_2,bin_1,bin_1,bin_1,bin_0
bin_0,Carolina Panthers,11,bin_1,bin_2,bin_2,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_0,bin_0,bin_1,bin_1,bin_1,bin_2,bin_1,bin_2,bin_1,bin_1,bin_0,bin_0,bin_1,bin_1,bin_2,bin_2,bin_1,bin_1
bin_0,Atlanta Falcons,8,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_2,bin_2,bin_1,bin_0,bin_0,bin_0,bin_0,bin_1,bin_1,bin_1,bin_2,bin_2,bin_1,bin_2,bin_2,bin_2,bin_2,bin_1,bin_1,bin_1,bin_1
bin_0,New Orleans Saints,3,bin_3,bin_0,bin_0,bin_1,bin_1,bin_1,bin_3,bin_2,bin_1,bin_1,bin_1,bin_1,bin_0,bin_2,bin_1,bin_1,bin_1,bin_1,bin_0,bin_1,bin_1,bin_2,bin_3,bin_3,bin_1,bin_3,bin_0
bin_0,Seattle Seahawks,13,bin_0,bin_3,bin_3,bin_2,bin_1,bin_2,bin_0,bin_0,bin_2,bin_1,bin_1,bin_1,bin_1,bin_1,bin_2,bin_1,bin_2,bin_2,bin_3,bin_2,bin_2,bin_1,bin_1,bin_1,bin_2,bin_0,bin_2
bin_0,St. Louis Rams,6,bin_2,bin_1,bin_1,bin_2,bin_1,bin_2,bin_3,bin_1,bin_1,bin_2,bin_2,bin_2,bin_1,bin_2,bin_1,bin_2,bin_0,bin_0,bin_1,bin_1,bin_0,bin_2,bin_2,bin_1,bin_1,bin_2,bin_1
bin_0,Arizona Cardinals,5,bin_2,bin_1,bin_1,bin_2,bin_2,bin_1,bin_3,bin_2,bin_1,bin_2,bin_3,bin_2,bin_1,bin_2,bin_1,bin_2,bin_0,bin_0,bin_0,bin_0,bin_0,bin_3,bin_3,bin_1,bin_1,bin_2,bin_1
bin_0,San Francisco 49ers,4,bin_2,bin_0,bin_0,bin_0,bin_0,bin_0,bin_2,bin_1,bin_0,bin_0,bin_0,bin_0,bin_0,bin_2,bin_0,bin_0,bin_1,bin_1,bin_0,bin_1,bin_0,bin_1,bin_1,bin_1,bin_0,bin_2,bin_0
bin_0,New England Patriots,12,bin_0,bin_2,bin_2,bin_1,bin_2,bin_1,bin_1,bin_2,bin_2,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_2,bin_1,bin_2,bin_1,bin_2,bin_1,bin_2,bin_1,bin_1,bin_1,bin_1
bin_0,New York Jets,10,bin_1,bin_2,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_0,bin_1,bin_1,bin_1,bin_2,bin_1,bin_1,bin_0,bin_1,bin_0,bin_0,bin_1,bin_1,bin_1,bin_1
bin_0,Buffalo Bills,7,bin_2,bin_1,bin_1,bin_0,bin_0,bin_1,bin_2,bin_2,bin_0,bin_0,bin_0,bin_0,bin_0,bin_1,bin_1,bin_0,bin_1,bin_0,bin_0,bin_0,bin_0,bin_1,bin_0,bin_1,bin_1,bin_2,bin_1
bin_0,Miami Dolphins,6,bin_2,bin_1,bin_1,bin_1,bin_2,bin_1,bin_1,bin_0,bin_1,bin_1,bin_2,bin_1,bin_0,bin_2,bin_1,bin_1,bin_1,bin_1,bin_0,bin_1,bin_0,bin_1,bin_1,bin_0,bin_1,bin_1,bin_1
bin_0,Baltimore Ravens,13,bin_0,bin_3,bin_2,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_2,bin_0,bin_1,bin_0,bin_0,bin_1,bin_1,bin_0,bin_1,bin_1,bin_1
bin_0,Cincinnati Bengals,8,bin_1,bin_1,bin_2,bin_1,bin_1,bin_2,bin_1,bin_1,bin_1,bin_1,bin_1,bin_2,bin_1,bin_1,bin_2,bin_2,bin_1,bin_0,bin_1,bin_0,bin_1,bin_1,bin_1,bin_1,bin_2,bin_1,bin_1
bin_0,Pittsburgh Steelers,8,bin_1,bin_1,bin_2,bin_2,bin_2,bin_2,bin_3,bin_1,bin_2,bin_1,bin_1,bin_2,bin_1,bin_2,bin_2,bin_2,bin_2,bin_1,bin_1,bin_1,bin_1,bin_0,bin_0,bin_1,bin_1,bin_2,bin_1
bin_0,Cleveland Browns,4,bin_2,bin_0,bin_0,bin_0,bin_0,bin_0,bin_3,bin_2,bin_0,bin_1,bin_1,bin_1,bin_0,bin_3,bin_0,bin_1,bin_0,bin_0,bin_0,bin_0,bin_0,bin_0,bin_1,bin_1,bin_0,bin_3,bin_0
bin_0,Indianapolis Colts,12,bin_0,bin_2,bin_2,bin_2,bin_1,bin_2,bin_1,bin_1,bin_2,bin_2,bin_2,bin_2,bin_1,bin_0,bin_3,bin_2,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_3,bin_1,bin_2
bin_0,Tennessee Titans,8,bin_1,bin_1,bin_1,bin_1,bin_0,bin_1,bin_1,bin_0,bin_1,bin_0,bin_0,bin_0,bin_0,bin_2,bin_1,bin_0,bin_2,bin_2,bin_1,bin_2,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1
bin_0,Jacksonville Jaguars,8,bin_1,bin_1,bin_2,bin_1,bin_1,bin_2,bin_1,bin_1,bin_1,bin_0,bin_0,bin_1,bin_0,bin_1,bin_1,bin_1,bin_2,bin_2,bin_2,bin_3,bin_2,bin_1,bin_1,bin_0,bin_2,bin_1,bin_1
bin_0,Houston Texans,6,bin_2,bin_1,bin_1,bin_0,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_0,bin_0,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1
bin_0,San Diego Chargers,14,bin_0,bin_3,bin_3,bin_2,bin_1,bin_2,bin_0,bin_0,bin_2,bin_1,bin_1,bin_1,bin_1,bin_0,bin_2,bin_1,bin_2,bin_2,bin_3,bin_2,bin_2,bin_1,bin_1,bin_0,bin_2,bin_0,bin_2
bin_0,Kansas City Chiefs,9,bin_1,bin_2,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_0,bin_0,bin_1,bin_0,bin_1,bin_1,bin_1,bin_2,bin_1,bin_1,bin_1,bin_1,bin_0,bin_0,bin_1,bin_1,bin_1,bin_1
bin_0,Denver Broncos,9,bin_1,bin_2,bin_1,bin_1,bin_1,bin_1,bin_2,bin_1,bin_1,bin_0,bin_0,bin_1,bin_1,bin_2,bin_1,bin_1,bin_2,bin_1,bin_1,bin_2,bin_1,bin_0,bin_0,bin_1,bin_1,bin_2,bin_1
bin_0,Oakland Raiders,2,bin_3,bin_0,bin_0,bin_0,bin_1,bin_0,bin_3,bin_3,bin_0,bin_0,bin_1,bin_0,bin_0,bin_2,bin_0,bin_0,bin_1,bin_0,bin_0,bin_1,bin_0,bin_2,bin_1,bin_1,bin_0,bin_3,bin_0
bin_0,Philadelphia Eagles,10,bin_1,bin_2,bin_2,bin_2,bin_1,bin_3,bin_1,bin_2,bin_1,bin_1,bin_1,bin_2,bin_1,bin_0,bin_2,bin_1,bin_1,bin_1,bin_1,bin_2,bin_1,bin_2,bin_2,bin_0,bin_1,bin_1,bin_1
bin_0,Dallas Cowboys,9,bin_1,bin_2,bin_2,bin_2,bin_1,bin_2,bin_2,bin_1,bin_2,bin_1,bin_1,bin_2,bin_1,bin_2,bin_2,bin_2,bin_2,bin_1,bin_2,bin_1,bin_1,bin_1,bin_2,bin_2,bin_2,bin_2,bin_1
bin_0,New York Giants,8,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_2,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_2,bin_1,bin_1,bin_1,bin_1,bin_1,bin_2,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1
bin_0,Washington Redskins,5,bin_2,bin_1,bin_1,bin_1,bin_1,bin_2,bin_0,bin_0,bin_1,bin_0,bin_1,bin_1,bin_0,bin_1,bin_1,bin_1,bin_2,bin_2,bin_1,bin_2,bin_2,bin_1,bin_2,bin_1,bin_1,bin_1,bin_1
bin_0,Chicago Bears,13,bin_0,bin_3,bin_3,bin_1,bin_2,bin_1,bin_2,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_2,bin_1,bin_1,bin_2,bin_1,bin_1,bin_1,bin_1,bin_2,bin_2,bin_2,bin_2,bin_2,bin_1
bin_0,Green Bay Packers,8,bin_1,bin_1,bin_1,bin_1,bin_2,bin_1,bin_2,bin_2,bin_1,bin_1,bin_2,bin_2,bin_0,bin_2,bin_1,bin_1,bin_1,bin_0,bin_0,bin_1,bin_1,bin_1,bin_1,bin_1,bin_1,bin_2,bin_1
