wins,losses,points,points_opp,total_yards,plays_offense,yds_per_play_offense,turnovers,fumbles_lost,first_down,pass_cmp,pass_att,win_superbowl
9,7,333,297,5169,1020,5.1,25,14,290,339,570,1
5,11,410,423,5708,1014,5.6,35,14,340,349,580,0
13,3,421,306,6027,1010,6.0,15,9,358,325,483,0
9,7,429,344,5687,968,5.9,21,6,327,323,539,1
11,5,310,284,5291,1018,5.2,27,11,289,377,598,0
8,7,396,383,6454,1009,6.4,21,9,345,407,607,0
7,9,367,331,5398,1080,5.0,20,6,333,380,609,0
10,6,432,388,5900,1029,5.7,17,9,349,403,620,0
9,7,346,358,5421,981,5.5,15,5,329,388,594,0
8,8,327,307,5041,1006,5.0,16,11,303,414,588,0
3,13,279,399,5704,967,5.9,31,12,324,347,559,0
11,5,540,406,6653,995,6.7,11,4,379,374,537,0
9,7,354,369,5542,1066,5.2,27,9,340,355,578,0
7,9,469,454,6816,1105,6.2,24,9,395,472,674,0
6,10,369,402,5499,1052,5.2,29,10,318,306,563,0
10,5,354,292,5715,1012,5.6,18,6,313,368,567,0
7,8,418,362,5868,1086,5.4,28,11,368,383,646,0
4,12,224,394,4203,960,4.4,29,9,245,312,536,0
2,14,309,480,4930,996,4.9,25,15,287,287,491,0
13,3,458,296,6307,1070,5.9,12,4,389,389,587,1
9,7,302,359,4842,1010,4.8,16,6,278,289,476,0
5,11,264,320,4599,934,4.9,22,10,266,291,473,0
11,5,448,326,6259,1000,6.3,18,10,332,386,536,0
11,5,363,327,5179,1026,5.0,22,6,320,293,501,0
10,6,353,315,5837,984,5.9,18,6,330,343,530,0
5,11,335,382,5814,1035,5.6,27,13,352,378,605,0
11,5,478,329,5784,1000,5.8,21,14,311,320,518,0
9,7,366,332,5286,1007,5.2,17,5,299,340,555,0
8,8,295,361,5026,1060,4.7,25,7,310,339,598,0
6,10,331,383,5587,1058,5.3,23,8,321,362,607,0
11,5,436,325,6295,1073,5.9,18,7,365,378,574,0
7,9,319,433,4638,878,5.3,23,10,252,292,455,0
6,10,269,374,4778,1008,4.7,32,9,283,271,499,0
4,12,333,441,4787,971,4.9,30,11,258,299,524,0
10,6,389,287,5999,1135,5.3,20,11,367,334,556,0
9,6,428,360,6453,1058,6.1,26,9,378,459,689,0
7,8,359,392,5900,1023,5.8,24,7,314,353,574,0
6,10,368,455,4972,938,5.3,17,4,304,331,542,0
11,5,402,316,5802,1040,5.6,16,7,333,345,506,0
10,6,433,344,6179,1070,5.8,24,9,371,432,644,0
9,7,310,303,5002,940,5.3,18,6,289,293,437,0
5,11,245,316,4832,1005,4.8,29,16,277,329,536,0
12,4,565,421,6810,996,6.8,18,6,384,385,583,0
12,4,428,329,5962,945,6.3,19,7,338,348,512,0
6,10,329,349,5602,1015,5.5,21,6,320,367,588,0
4,12,290,467,5379,995,5.4,24,14,300,382,556,0
10,6,339,324,5501,1022,5.4,17,9,322,356,527,0
9,7,367,348,5845,1037,5.6,23,12,346,422,599,1
